State,Abrv,Year,Value
Alaska,AL,1964,13.6
Arizona,AZ,1964,7.5
California,CA,1964,8.4
Idaho,ID,1964,5.7
Maine,ME,1964,7.6
Michigan,MI,1964,6.9
Minnesota,MN,1964,5.7
Montana,MT,1964,2.5
New Mexico,NM,1964,4.2
New York,NY,1964,6.9
North Dakota,ND,1964,-2.0
Texas,TX,1964,7.2
Vermont,VT,1964,9.7
Washington,WA,1964,2.0
Alaska,AL,1965,11.7
Arizona,AZ,1965,4.4
California,CA,1965,6.4
Idaho,ID,1965,12.9
Maine,ME,1965,7.8
Michigan,MI,1965,13.6
Minnesota,MN,1965,9.9
Montana,MT,1965,7.6
New Mexico,NM,1965,4.9
New York,NY,1965,6.4
North Dakota,ND,1965,14.7
Texas,TX,1965,8.0
Vermont,VT,1965,10.9
Washington,WA,1965,8.2
Alaska,AL,1966,8.7
Arizona,AZ,1966,9.9
California,CA,1966,8.1
Idaho,ID,1966,3.4
Maine,ME,1966,6.9
Michigan,MI,1966,6.1
Minnesota,MN,1966,10.2
Montana,MT,1966,7.8
New Mexico,NM,1966,4.3
New York,NY,1966,7.7
North Dakota,ND,1966,1.2
Texas,TX,1966,8.6
Vermont,VT,1966,18.8
Washington,WA,1966,15.7
Alaska,AL,1967,10.0
Arizona,AZ,1967,4.6
California,CA,1967,5.8
Idaho,ID,1967,2.7
Maine,ME,1967,5.1
Michigan,MI,1967,1.9
Minnesota,MN,1967,6.3
Montana,MT,1967,0.6
New Mexico,NM,1967,1.8
New York,NY,1967,6.4
North Dakota,ND,1967,1.5
Texas,TX,1967,8.5
Vermont,VT,1967,4.9
Washington,WA,1967,9.7
Alaska,AL,1968,15.6
Arizona,AZ,1968,14.0
California,CA,1968,10.2
Idaho,ID,1968,7.0
Maine,ME,1968,8.0
Michigan,MI,1968,11.7
Minnesota,MN,1968,10.5
Montana,MT,1968,7.1
New Mexico,NM,1968,8.3
New York,NY,1968,8.4
North Dakota,ND,1968,4.5
Texas,TX,1968,11.5
Vermont,VT,1968,8.2
Washington,WA,1968,8.7
Alaska,AL,1969,9.2
Arizona,AZ,1969,14.7
California,CA,1969,8.0
Idaho,ID,1969,10.1
Maine,ME,1969,8.5
Michigan,MI,1969,7.1
Minnesota,MN,1969,9.5
Montana,MT,1969,9.1
New Mexico,NM,1969,7.5
New York,NY,1969,7.2
North Dakota,ND,1969,11.2
Texas,TX,1969,9.2
Vermont,VT,1969,10.5
Washington,WA,1969,6.3
Alaska,AL,1970,13.8
Arizona,AZ,1970,13.3
California,CA,1970,5.0
Idaho,ID,1970,9.6
Maine,ME,1970,7.2
Michigan,MI,1970,-3.6
Minnesota,MN,1970,5.8
Montana,MT,1970,5.7
New Mexico,NM,1970,8.3
New York,NY,1970,5.0
North Dakota,ND,1970,5.3
Texas,TX,1970,7.7
Vermont,VT,1970,10.1
Washington,WA,1970,0.1
Alaska,AL,1971,7.6
Arizona,AZ,1971,12.6
California,CA,1971,7.5
Idaho,ID,1971,8.3
Maine,ME,1971,6.3
Michigan,MI,1971,12.0
Minnesota,MN,1971,7.1
Montana,MT,1971,7.7
New Mexico,NM,1971,8.8
New York,NY,1971,6.0
North Dakota,ND,1971,14.7
Texas,TX,1971,9.6
Vermont,VT,1971,7.2
Washington,WA,1971,3.6
Alaska,AL,1972,8.0
Arizona,AZ,1972,17.0
California,CA,1972,10.6
Idaho,ID,1972,15.5
Maine,ME,1972,9.9
Michigan,MI,1972,9.4
Minnesota,MN,1972,9.4
Montana,MT,1972,16.5
New Mexico,NM,1972,12.1
New York,NY,1972,6.8
North Dakota,ND,1972,17.0
Texas,TX,1972,11.6
Vermont,VT,1972,8.1
Washington,WA,1972,9.2
Alaska,AL,1973,10.9
Arizona,AZ,1973,18.0
California,CA,1973,10.6
Idaho,ID,1973,18.8
Maine,ME,1973,12.5
Michigan,MI,1973,11.2
Minnesota,MN,1973,18.6
Montana,MT,1973,18.6
New Mexico,NM,1973,14.5
New York,NY,1973,7.2
North Dakota,ND,1973,43.1
Texas,TX,1973,15.3
Vermont,VT,1973,8.2
Washington,WA,1973,14.0
Alaska,AL,1974,31.5
Arizona,AZ,1974,9.6
California,CA,1974,9.9
Idaho,ID,1974,15.7
Maine,ME,1974,7.7
Michigan,MI,1974,0.2
Minnesota,MN,1974,6.5
Montana,MT,1974,7.4
New Mexico,NM,1974,15.0
New York,NY,1974,6.6
North Dakota,ND,1974,2.3
Texas,TX,1974,15.6
Vermont,VT,1974,3.8
Washington,WA,1974,12.4
Alaska,AL,1975,55.5
Arizona,AZ,1975,4.6
California,CA,1975,10.2
Idaho,ID,1975,12.5
Maine,ME,1975,7.0
Michigan,MI,1975,6.4
Minnesota,MN,1975,7.2
Montana,MT,1975,12.0
New Mexico,NM,1975,13.8
New York,NY,1975,6.8
North Dakota,ND,1975,8.1
Texas,TX,1975,15.7
Vermont,VT,1975,8.9
Washington,WA,1975,11.6
Alaska,AL,1976,20.1
Arizona,AZ,1976,11.0
California,CA,1976,10.6
Idaho,ID,1976,13.0
Maine,ME,1976,16.2
Michigan,MI,1976,17.5
Minnesota,MN,1976,10.6
Montana,MT,1976,15.6
New Mexico,NM,1976,14.3
New York,NY,1976,5.2
North Dakota,ND,1976,3.8
Texas,TX,1976,15.1
Vermont,VT,1976,14.8
Washington,WA,1976,11.8
Alaska,AL,1977,1.0
Arizona,AZ,1977,15.6
California,CA,1977,16.3
Idaho,ID,1977,9.3
Maine,ME,1977,9.7
Michigan,MI,1977,13.4
Minnesota,MN,1977,12.2
Montana,MT,1977,5.3
New Mexico,NM,1977,9.2
New York,NY,1977,10.2
North Dakota,ND,1977,3.8
