State,Year,Population,LaborForce,Employed,Unemployed,Abrv
Alaska,1976,239917.0,163570.0,151190.0,12380.0,AL
Arizona,1976,1650917.0,987060.0,890988.0,96072.0,AZ
California,1976,15823750.0,9899372.0,8994291.0,905081.0,CA
Idaho,1976,589333.0,373138.0,352371.0,20767.0,ID
Maine,1976,772833.0,477001.0,435603.0,41398.0,ME
Michigan,1976,6453167.0,3993535.0,3618361.0,375174.0,MI
Minnesota,1976,2812250.0,1852393.0,1744171.0,108222.0,MN
Montana,1976,536667.0,330284.0,310614.0,19670.0,MT
New Mexico,1976,808000.0,482382.0,439658.0,42724.0,NM
New York,1976,13221750.0,7692561.0,6905369.0,787192.0,NY
North Dakota,1976,446250.0,278686.0,268394.0,10292.0,ND
Ohio,1976,7731000.0,4755748.0,4385605.0,370143.0,OH
Texas,1976,8957667.0,5710482.0,5381249.0,329233.0,TX
Vermont,1976,342917.0,216308.0,198294.0,18014.0,VT
Washington,1976,2633667.0,1618814.0,1474876.0,143938.0,WA
Alaska,1977,248083.0,173013.0,155948.0,17065.0,AL
Arizona,1977,1726250.0,1042116.0,956606.0,85510.0,AZ
California,1977,16277917.0,10382340.0,9518343.0,863997.0,CA
Idaho,1977,611000.0,397769.0,374822.0,22947.0,ID
Maine,1977,790083.0,479869.0,440273.0,39596.0,ME
Michigan,1977,6543083.0,4109934.0,3772280.0,337654.0,MI
Minnesota,1977,2861667.0,1915838.0,1815013.0,100825.0,MN
Montana,1977,550500.0,348883.0,326918.0,21965.0,MT
New Mexico,1977,838583.0,513455.0,474289.0,39166.0,NM
New York,1977,13244083.0,7731387.0,7024769.0,706618.0,NY
North Dakota,1977,453417.0,287162.0,274115.0,13047.0,ND
Ohio,1977,7812167.0,4833856.0,4517698.0,316158.0,OH
Texas,1977,9243167.0,5950809.0,5633267.0,317542.0,TX
Vermont,1977,351583.0,228284.0,212351.0,15933.0,VT
Washington,1977,2719000.0,1696825.0,1553328.0,143497.0,WA
Alaska,1978,255000.0,182111.0,162730.0,19381.0,AL
Arizona,1978,1809083.0,1082446.0,1017179.0,65267.0,AZ
California,1978,16761667.0,10905557.0,10125077.0,780480.0,CA
Idaho,1978,631667.0,416943.0,394249.0,22694.0,ID
Maine,1978,805333.0,483755.0,452722.0,31033.0,ME
Michigan,1978,6634500.0,4208346.0,3914127.0,294219.0,MI
Minnesota,1978,2907500.0,1971339.0,1895141.0,76198.0,MN
Montana,1978,564667.0,366065.0,345148.0,20917.0,MT
New Mexico,1978,866417.0,538014.0,506075.0,31939.0,NM
New York,1978,13252750.0,7847918.0,7239599.0,608319.0,NY
North Dakota,1978,458750.0,293863.0,281366.0,12497.0,ND
Ohio,1978,7891000.0,4950642.0,4680243.0,270399.0,OH
Texas,1978,9535417.0,6209219.0,5909838.0,299381.0,TX
Vermont,1978,359833.0,239606.0,226182.0,13424.0,VT
Washington,1978,2823333.0,1809342.0,1685368.0,123974.0,WA
Alaska,1979,258167.0,183807.0,166730.0,17077.0,AL
Arizona,1979,1908083.0,1152471.0,1093987.0,58484.0,AZ
California,1979,17214167.0,11279488.0,10574856.0,704632.0,CA
Idaho,1979,647917.0,429329.0,404370.0,24959.0,ID
Maine,1979,818417.0,497657.0,463851.0,33806.0,ME
Michigan,1979,6718333.0,4302204.0,3967671.0,334533.0,MI
Minnesota,1979,2957083.0,2046335.0,1959937.0,86398.0,MN
Montana,1979,571917.0,371332.0,352135.0,19197.0,MT
New Mexico,1979,895583.0,556087.0,520572.0,35515.0,NM
