"SAGDP2N Gross domestic product (GDP) by state 1/"
"Gross domestic product (GDP) by state: All industry total (Percent change from preceding period)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006","2006-2007","2007-2008","2008-2009","2009-2010","2010-2011","2011-2012","2012-2013","2013-2014","2014-2015","2015-2016","2016-2017","2017-2018"
"00000","United States*",5.7,6.3,6.5,3.2,3.4,4.8,6.6,6.7,6.0,4.6,1.8,-1.8,3.8,3.7,4.2,3.6,4.4,4.0,2.7,4.2,5.2
"01000","Alabama",5.1,5.1,3.7,2.7,4.4,4.7,9.6,6.4,5.1,3.6,1.8,-2.5,3.8,3.8,2.7,2.8,1.3,3.3,1.5,4.1,4.5
"02000","Alaska",-6.1,2.3,8.3,6.1,4.2,7.4,10.0,13.7,11.7,10.2,11.8,-9.4,6.6,6.4,2.5,-1.8,-1.9,-8.9,-2.3,4.6,4.5
"04000","Arizona",8.3,8.3,6.0,4.2,4.6,7.4,6.6,11.1,8.8,5.7,-1.1,-6.0,1.8,3.9,4.0,2.6,3.4,4.4,4.8,4.9,6.2
"05000","Arkansas",4.3,7.0,2.9,2.7,4.7,5.8,8.2,5.9,5.3,2.7,2.1,-1.9,4.8,4.3,2.5,5.1,2.7,1.0,1.3,3.0,3.5
"06000","California",7.2,8.6,9.6,1.3,3.8,6.3,6.9,7.5,6.9,4.3,1.8,-3.5,2.8,3.8,4.6,5.5,5.9,6.7,4.1,5.5,5.6
"08000","Colorado",10.0,9.2,10.0,3.9,1.8,2.9,3.8,7.8,5.1,6.4,3.9,-2.7,2.6,3.6,3.4,5.4,6.3,3.9,3.4,5.5,6.2
"09000","Connecticut",4.9,4.7,8.9,4.4,1.8,2.9,9.6,5.1,6.8,6.6,1.4,-1.9,0.5,-0.5,3.1,1.2,0.9,4.3,1.3,1.0,3.3
"10000","Delaware",11.6,9.7,7.5,7.0,-1.5,4.4,7.7,1.4,5.6,2.2,-2.6,3.8,1.0,5.1,2.7,-2.1,10.7,5.5,-0.7,2.5,3.9
"11000","District of Columbia",4.6,7.2,3.8,7.3,6.8,5.8,8.6,6.0,3.8,6.2,5.9,1.4,5.2,3.7,2.4,1.9,4.4,4.3,3.7,3.9,4.0
"12000","Florida",7.1,6.6,6.8,5.6,6.2,6.4,8.9,9.6,6.8,3.3,-2.4,-3.5,1.8,1.2,3.0,4.1,4.9,6.5,5.0,4.4,5.8
"13000","Georgia",9.2,9.1,6.4,3.6,2.6,4.1,7.0,6.2,4.0,3.2,-0.5,-1.4,2.4,3.0,3.4,3.7,5.3,5.7,5.0,4.4,4.6
"15000","Hawaii",-0.1,4.3,5.7,3.4,6.0,7.7,9.9,9.1,6.3,4.6,2.5,-1.8,3.8,3.4,4.4,3.0,2.9,6.1,3.8,3.7,3.4
